[2017-02-12T15:19:10+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-12T19:09:59+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-12T19:09:59+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-02-12T20:39:22+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-02-12T20:39:23+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-12T20:54:31+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-12T20:54:31+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-02-12T20:59:44+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-02-12T20:59:45+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-12T21:10:42+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-12T21:10:42+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 4084655c78; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
